Year,Attribute,Value
1948,Total agricultural output,0.36283338
1948,Livestock and products output: Total 1/,0.437903176
1948,Livestock and products output: Meat animals,0.562957476
1948,Livestock and products output: Dairy,0.448528846
1948,Livestock and products output: Poultry and eggs,0.129304468
1948,Crops output: Total,0.338529258
1948,Crops output: Food grains,0.524309405
1948,Crops output: Feed crops,0.392066711
1948,Crops output: Oil crops,0.110667516
1948,Crops output: Vegetables and melons,0.397223452
1948,Crops output: Fruits and nuts,0.310912333
1948,Crops output: Other crops 2/,0.409470874
1948,Farm-related output 3/,0.233374414
1948,Farm inputs: Total ,0.946524462
1948,Capital inputs: Total,1.120362975
1948,Capital inputs: Durable equipment,0.467550143
1948,Capital inputs: Service buildings,0.886675526
1948,Capital inputs: Land,1.369041049
1948,Capital inputs: Inventories,0.692027107
1948,Labor inputs: Total,3.9746116
1948,Labor inputs: Hired labor,2.999097654
1948,Labor inputs: Self-employed and unpaid family,4.570501419
1948,Intermediate inputs: Total,0.431257005
1948,Intermediate inputs: Feed and seed,0.473740977
1948,Intermediate inputs: Energy,1.015512652
1948,Intermediate inputs: Fertilizer and lime,0.299007955
1948,Intermediate inputs: Pesticides,0.016233503
1948,Intermediate inputs: Purchased services,0.433501404
1948,Intermediate inputs: Other intermediate,0.266192141
1948,Total factor productivity (TFP),0.38333228
1949,Total agricultural output,0.357258676
1949,Livestock and products output: Total 1/,0.440938396
1949,Livestock and products output: Meat animals,0.582992547
1949,Livestock and products output: Dairy,0.468620192
1949,Livestock and products output: Poultry and eggs,0.148074342
1949,Crops output: Total,0.327654515
1949,Crops output: Food grains,0.450338634
1949,Crops output: Feed crops,0.360509756
1949,Crops output: Oil crops,0.10584002
1949,Crops output: Vegetables and melons,0.449888015
1949,Crops output: Fruits and nuts,0.275062524
1949,Crops output: Other crops 2/,0.450249889
1949,Farm-related output 3/,0.219685102
1949,Farm inputs: Total ,0.959364142
1949,Capital inputs: Total,1.140865729
1949,Capital inputs: Durable equipment,0.551741575
